iter	RMSE
168	1120.007688
169	1119.305345
170	1118.633131
171	1117.974303
172	1117.29198
173	1116.632541
174	1115.984003
175	1115.359398
176	1114.73025
177	1114.076755
178	1113.477783
179	1112.846483
180	1112.197975
181	1111.544531
182	1110.916669
183	1110.383213
184	1109.820921
185	1109.257925
186	1108.761863
187	1108.189147
188	1107.67562
189	1107.204661
190	1106.694451
191	1106.207173
192	1105.677472
193	1105.205062
194	1104.727715
195	1104.220298
196	1103.701708
197	1103.219535
198	1102.763898
199	1102.347356
200	1101.98554
201	1101.576712
202	1101.118574
203	1100.742484
204	1100.310589
205	1099.993071
206	1099.569842
207	1099.221852
208	1098.823504
209	1098.524512
210	1098.193613
211	1097.80592
212	1097.469484
213	1097.070266
214	1096.692718
215	1096.37484
216	1096.035478
217	1095.667336
218	1095.347638
219	1094.991209
220	1094.679666
221	1094.357453
222	1094.03955
223	1093.726129
224	1093.419986
225	1093.094942
226	1092.799754
227	1092.519927
228	1092.175784
229	1091.863927
230	1091.542489
231	1091.232967
232	1090.933802
233	1090.699493
234	1090.415598
235	1090.169868
236	1089.909791
237	1089.633533
238	1089.413374
239	1089.178725
240	1088.931508
241	1088.717625
242	1088.45982
243	1088.207673
244	1087.961998
245	1087.788585
246	1087.544796
247	1087.303944
248	1087.104288
249	1086.894406
250	1086.661804
251	1086.448453
252	1086.233652
253	1086.065988
254	1085.817093
255	1085.587768
256	1085.39429
257	1085.176336
258	1084.999608
259	1084.741532
260	1084.584035
261	1084.357474
262	1084.117792
263	1083.928323
264	1083.769887
265	1083.543626
266	1083.353638
267	1083.146966
268	1082.98684
269	1082.755234
270	1082.606404
271	1082.465935
272	1082.280126
273	1082.136005
274	1082.003624
275	1081.846186
276	1081.715084
277	1081.5741
278	1081.460102
279	1081.271427
280	1081.103187
281	1080.98771
282	1080.855588
283	1080.665747
284	1080.536733
285	1080.356888
286	1080.185422
287	1080.021895
288	1079.864747
289	1079.719975
290	1079.576029
291	1079.415916
292	1079.232121
293	1079.126462
294	1078.953345
295	1078.846187
296	1078.681911
297	1078.544331
298	1078.4176
299	1078.285627
300	1078.1419
301	1078.019272
302	1077.821259
303	1077.708798
304	1077.58714
305	1077.400674
306	1077.241274
307	1077.105759
308	1077.005475
309	1076.852272
310	1076.739749
311	1076.605274
312	1076.526237
313	1076.420419
314	1076.302761
315	1076.141352
316	1076.02095
317	1075.927598
318	1075.826727
319	1075.647853
320	1075.507779
321	1075.39328
322	1075.281785
323	1075.205162
324	1075.118852
325	1074.971286
326	1074.851267
327	1074.748561
328	1074.629362
329	1074.516257
330	1074.408139
331	1074.322279
332	1074.209072
333	1074.096566
334	1074.032677
335	1073.967274
336	1073.843445
337	1073.673544
338	1073.602129
339	1073.463391
340	1073.355405
341	1073.198371
342	1073.08609
343	1073.007536
344	1072.906355
345	1072.823125
346	1072.73157
347	1072.653304
348	1072.552378
349	1072.471892
350	1072.402047
351	1072.332638
352	1072.250805
353	1072.159513
354	1072.087326
355	1072.0311
356	1071.992058
357	1071.918767
358	1071.802229
359	1071.681319
360	1071.54781
361	1071.485616
362	1071.350393
363	1071.233602
364	1071.181964
365	1070.96379
366	1070.883014
367	1070.80634
368	1070.711984
369	1070.656403
370	1070.556283
371	1070.492626
372	1070.362167
373	1070.318948
374	1070.239716
375	1070.188165
376	1070.112056
377	1070.037583
378	1069.917698
379	1069.852177
380	1069.686325
381	1069.609075
382	1069.506909
383	1069.414448
384	1069.290822
385	1069.224642
386	1069.196707
387	1069.073552
388	1068.912365
389	1068.851964
390	1068.684711
391	1068.558138
392	1068.445821
393	1068.344302
394	1068.22085
395	1068.164123
396	1068.088723
397	1068.026267
398	1067.891053
399	1067.822141
400	1067.775184
401	1067.718656
402	1067.639861
403	1067.558298
404	1067.502719
405	1067.435921
406	1067.385951
407	1067.277205
408	1067.198441
409	1067.08675
410	1066.970116
411	1066.89318
412	1066.828939
413	1066.77029
414	1066.725445
415	1066.671149
416	1066.599181
417	1066.537117
418	1066.443397
419	1066.341253
420	1066.292463
421	1066.23338
422	1066.157931
423	1066.126837
424	1066.001414
425	1065.852217
426	1065.733871
427	1065.644856
428	1065.522518
429	1065.483196
430	1065.390045
431	1065.287269
432	1065.146083
433	1065.075471
434	1065.040676
435	1064.97467
436	1064.902577
437	1064.843276
438	1064.777474
439	1064.722848
440	1064.657431
441	1064.546858
442	1064.479956
443	1064.426423
444	1064.385419
445	1064.306285
446	1064.222033
447	1064.122279
448	1064.04286
449	1063.91699
450	1063.876669
451	1063.813133
452	1063.764977
453	1063.672038
454	1063.567195
455	1063.497385
456	1063.430649
457	1063.347204
458	1063.26776
459	1063.157381
460	1063.073133
461	1063.036501
462	1062.965773
463	1062.9292
464	1062.822912
465	1062.780734
466	1062.749099
467	1062.707333
468	1062.632017
469	1062.573618
470	1062.519042
471	1062.415166
472	1062.367209
473	1062.28652
474	1062.244298
475	1062.202225
476	1062.141807
477	1062.022619
478	1061.96132
479	1061.828763
480	1061.762901
481	1061.693387
482	1061.603055
483	1061.517284
484	1061.478989
485	1061.403792
486	1061.297304
487	1061.153724
488	1061.051905
489	1060.979423
490	1060.88498
491	1060.858968
492	1060.834504
493	1060.797283
494	1060.692603
495	1060.584741
496	1060.584737
497	1060.50384
498	1060.449328
499	1060.371498
500	1060.275959
501	1060.193289
502	1060.177946
503	1060.127664
504	1060.099922
505	1060.027197
506	1059.910021
507	1059.835115
508	1059.736302
509	1059.642634
510	1059.571965
511	1059.492627
512	1059.412951
513	1059.307897
514	1059.277461
515	1059.223608
516	1059.221103
517	1059.112717
518	1059.016347
519	1058.914736
520	1058.86533
521	1058.803299
522	1058.762987
523	1058.669269
524	1058.583668
525	1058.535622
526	1058.445616
527	1058.386916
528	1058.293341
529	1058.238934
530	1058.204365
531	1058.154213
532	1058.099459
533	1058.069452
534	1058.012447
535	1057.836491
536	1057.749486
537	1057.677854
538	1057.640202
539	1057.523364
540	1057.481571
541	1057.348623
542	1057.287094
543	1057.203335
544	1057.162668
545	1057.074662
546	1057.02256
547	1056.964257
548	1056.870119
549	1056.80472
550	1056.673677
551	1056.610373
552	1056.53806
553	1056.514857
554	1056.454532
555	1056.444548
556	1056.378798
557	1056.316803
558	1056.264308
559	1056.1554
560	1056.059041
561	1056.033127
562	1055.934642
563	1055.889872
564	1055.833286
565	1055.796892
566	1055.719264
567	1055.612142
568	1055.576759
569	1055.525226
570	1055.405601
571	1055.380618
572	1055.367363
573	1055.257536
574	1055.229239
575	1055.200732
576	1055.117833
577	1055.084466
578	1055.061107
579	1054.98691
580	1054.936493
581	1054.880829
582	1054.834893
583	1054.784758
584	1054.695371
585	1054.641052
586	1054.564311
587	1054.47938
588	1054.424489
589	1054.304149
590	1054.230042
591	1054.194792
592	1054.156928
593	1054.143032
594	1054.099581
595	1054.01891
596	1053.969885
597	1053.932193
598	1053.886559
599	1053.77006
600	1053.67675
601	1053.595845
602	1053.490717
603	1053.436303
604	1053.410549
605	1053.374504
606	1053.267144
607	1053.176273
608	1053.14812
609	1053.106874
610	1053.048902
611	1052.94645
612	1052.862813
613	1052.710841
614	1052.554249
615	1052.510536
616	1052.468409
617	1052.44311
618	1052.363932
619	1052.325185
620	1052.274239
621	1052.212047
622	1052.128607
623	1052.057712
624	1051.944177
625	1051.857432
626	1051.802074
627	1051.738711
628	1051.694142
629	1051.640381
630	1051.60647
631	1051.579177
632	1051.536388
633	1051.48669
634	1051.444214
635	1051.398546
636	1051.361614
637	1051.2717
638	1051.180332
639	1051.144133
640	1051.06391
641	1051.01204
642	1050.941343
643	1050.825841
644	1050.756192
645	1050.68612
646	1050.648254
647	1050.588647
648	1050.549374
649	1050.439547
650	1050.354658
651	1050.318992
652	1050.276548
653	1050.273797
654	1050.143388
655	1050.053413
656	1050.012494
657	1049.930314
658	1049.856155
659	1049.745728
660	1049.725401
661	1049.69128
662	1049.557473
663	1049.52216
664	1049.495994
665	1049.471424
666	1049.423968
667	1049.394277
668	1049.375527
669	1049.303989
670	1049.179846
671	1049.137731
672	1049.107838
673	1049.025334
674	1048.973471
675	1048.903787
676	1048.853507
677	1048.817184
678	1048.766453
679	1048.71099
680	1048.657544
681	1048.631324
682	1048.558327
683	1048.467794
684	1048.425753
685	1048.389885
686	1048.357296
687	1048.31911
688	1048.229498
689	1048.145615
690	1048.094473
691	1048.068306
692	1048.022694
693	1047.988421
694	1047.959459
695	1047.908605
696	1047.751908
697	1047.660129
698	1047.601811
699	1047.459377
700	1047.410718
701	1047.34555
702	1047.297314
703	1047.257174
704	1047.225619
705	1047.181142
706	1047.113576
707	1047.016572
708	1046.967793
709	1046.90009
710	1046.821303
711	1046.735147
712	1046.675206
713	1046.578202
714	1046.463696
715	1046.391142
716	1046.325236
717	1046.284729
718	1046.246088
719	1046.175023
720	1046.130427
721	1046.099904
722	1046.028332
723	1045.956895
724	1045.87872
725	1045.763985
726	1045.744372
727	1045.678416
728	1045.580072
729	1045.555125
730	1045.4606
731	1045.432226
732	1045.406214
733	1045.362993
734	1045.295028
735	1045.258144
736	1045.177031
737	1045.140163
738	1045.085124
739	1045.048442
740	1044.945469
741	1044.910157
742	1044.880137
743	1044.822993
744	1044.744073
745	1044.702503
746	1044.648153
747	1044.548452
748	1044.478124
749	1044.410183
750	1044.305229
751	1044.201143
752	1044.125675
753	1044.073599
754	1043.973762
755	1043.94899
756	1043.899746
757	1043.833613
758	1043.749807
759	1043.71771
760	1043.694556
761	1043.656204
762	1043.613378
763	1043.529869
764	1043.47857
765	1043.420743
766	1043.370238
767	1043.300831
768	1043.216969
769	1043.162141
770	1043.062846
771	1042.981025
772	1042.904667
773	1042.835207
774	1042.739071
775	1042.683739
776	1042.58611
777	1042.506999
778	1042.454401
779	1042.436845
780	1042.351768
781	1042.250826
782	1042.186707
783	1042.102559
784	1042.069594
785	1042.035213
786	1042.023064
787	1041.94596
788	1041.887587
789	1041.828059
790	1041.75946
791	1041.716413
792	1041.640111
793	1041.599347
794	1041.513494
795	1041.472067
796	1041.41069
797	1041.326945
798	1041.204224
799	1041.129904
800	1041.07339
801	1041.023899
802	1040.96354
803	1040.93493
804	1040.887224
805	1040.831686
806	1040.808142
807	1040.768402
808	1040.749677
809	1040.646505
810	1040.574064
811	1040.547904
812	1040.474698
813	1040.372794
814	1040.309279
815	1040.212991
816	1040.128911
817	1040.093088
818	1040.0028
819	1039.916985
820	1039.90179
821	1039.834969
822	1039.759646
823	1039.702117
824	1039.634247
825	1039.544063
826	1039.437407
827	1039.384942
828	1039.317464
829	1039.281795
830	1039.219614
831	1039.203457
832	1039.126874
833	1039.082587
834	1038.993138
835	1038.9471
836	1038.905055
837	1038.773669
838	1038.691975
839	1038.622404
840	1038.536047
841	1038.444263
842	1038.350528
843	1038.331636
844	1038.260586
845	1038.108019
846	1038.043568
847	1038.007256
848	1037.92982
849	1037.835511
850	1037.789528
851	1037.708926
852	1037.631417
853	1037.609412
854	1037.527288
855	1037.460549
856	1037.405078
857	1037.350303
858	1037.27164
859	1037.243497
860	1037.190808
861	1037.170272
862	1037.080763
863	1036.953922
864	1036.88341
865	1036.78462
866	1036.693336
867	1036.615155
868	1036.541847
869	1036.48699
870	1036.416667
871	1036.326368
872	1036.297064
873	1036.157843
874	1036.119468
875	1036.04781
876	1035.963009
877	1035.923369
878	1035.875767
879	1035.794804
880	1035.72559
881	1035.671315
882	1035.584865
883	1035.547585
884	1035.523483
885	1035.502445
886	1035.479317
887	1035.424181
888	1035.337596
889	1035.293869
890	1035.209483
891	1035.12138
892	1035.073956
893	1035.039995
894	1034.962715
895	1034.866869
896	1034.751156
897	1034.659871
898	1034.61821
899	1034.534602
900	1034.487345
901	1034.418792
902	1034.370413
903	1034.323295
904	1034.264545
905	1034.178944
906	1034.087341
907	1034.011429
908	1033.931113
909	1033.900158
910	1033.857032
911	1033.825387
912	1033.793667
913	1033.748151
914	1033.710301
915	1033.649516
916	1033.588695
917	1033.505455
918	1033.403395
919	1033.363619
920	1033.270777
921	1033.187201
922	1033.079652
923	1033.002498
924	1032.911523
925	1032.886164
926	1032.781269
927	1032.697473
928	1032.652778
929	1032.551652
930	1032.476284
931	1032.378918
932	1032.314019
933	1032.311624
934	1032.213888
935	1032.164363
936	1032.117831
937	1032.082043
938	1032.021538
939	1031.981021
940	1031.945558
941	1031.891273
942	1031.846912
943	1031.813988
944	1031.791771
945	1031.737602
946	1031.672422
947	1031.581161
948	1031.489789
949	1031.39367
950	1031.277552
951	1031.188865
952	1031.11665
953	1031.068012
954	1031.016809
955	1030.9524
956	1030.932015
957	1030.878909
958	1030.824432
959	1030.787232
960	1030.753945
961	1030.676691
962	1030.609452
963	1030.524951
964	1030.44894
965	1030.397217
966	1030.335971
967	1030.27263
968	1030.207935
969	1030.122642
970	1030.051387
971	1030.006173
972	1029.893971
973	1029.817155
974	1029.777039
975	1029.74934
976	1029.636862
977	1029.550178
978	1029.476826
979	1029.377777
980	1029.318365
981	1029.218878
982	1029.167805
983	1029.114087
984	1029.026831
985	1028.924453
986	1028.851471
987	1028.789612
988	1028.722847
989	1028.60692
990	1028.560947
991	1028.468148
992	1028.402657
993	1028.364885
994	1028.314782
995	1028.253497
996	1028.200556
997	1028.139877
998	1028.11809
999	1028.036625
